id,q1,q2,q3,q4,commets,score,state,user_id,seller_id,order_id,updated_at,created_at
89,5.00,5.00,5.00,5.00,"Excelente producto muy satisfecho con la calidad, y bonito empaque 👌🏻",5.00,1,2721,53023,18620,"2024-03-06 14:36:16","2024-03-06 14:35:50"
103,0.50,0.50,0.50,0.50,"El jeans venía en pésimas condiciones 
Y para el precio que tenia debía ser un producto en buen estado 
Pero venia super mal",0.50,1,52855,53016,18735,"2024-03-13 18:01:23","2024-03-13 18:00:24"
106,5.00,5.00,5.00,2.50,"Superr rapidoo :)! Graciass",5.00,1,2590,52930,18746,"2024-03-14 14:24:12","2024-03-14 14:07:02"
107,5.00,5.00,5.00,3.00,"Cristi fue super linda y amable",5.00,1,2590,43494,18720,"2024-03-14 14:23:44","2024-03-14 14:23:16"
121,5.00,5.00,5.00,5.00,"Excelente servicio, gracias por el libro🙏🏻👌🏻",5.00,1,2721,52895,18791,"2024-03-20 12:19:07","2024-03-20 12:18:47"
124,5.00,5.00,5.00,5.00,"Satisfecho!! Gracias!!!",5.00,1,2721,54476,18813,"2024-03-21 14:58:15","2024-03-21 14:58:02"
131,5.00,5.00,5.00,5.00,"El producto y la logística de la entrega es excelente talvez paea futuras compras poner un chat para coordinar tallas con los productos",5.00,1,19654,47530,18823,"2024-03-23 19:14:14","2024-03-23 19:13:01"
132,0.00,0.00,0.00,4.50,"Hola Bryan, podrias no aceptar mi compra? No pensaba comprarla todavía disculpame mucho",0.00,1,54593,51891,18849,"2024-03-23 22:58:30","2024-03-23 22:58:09"
142,5.00,5.00,5.00,5.00,"Todo super bien! Maritza se contacto conmigo para indicarme sobre un detalle que tenia el Magic Mouse, pero aparte de eso funciona como nuevo.",5.00,1,89,2779,18853,"2024-03-26 14:11:21","2024-03-26 14:10:32"
148,5.00,5.00,5.00,5.00,"La mejor experiencia de compra con una vendedora en Vitrinnea",5.00,1,3991,53299,18809,"2024-03-27 15:29:12","2024-03-27 15:28:48"
164,5.00,5.00,5.00,5.00,"Exelente calidad todo, exacto el producto y el muchacho de la entrega muy amable",5.00,1,54770,21630,18952,"2024-04-02 08:46:40","2024-04-02 08:46:00"
165,3.50,0.50,0.50,5.00,"El producto dice que su condición es "Como Nuevo", la prenda tiene varias manchas grises como de pintura.",1.50,1,3379,43494,18843,"2024-04-02 11:07:52","2024-04-02 11:02:54"
166,5.00,5.00,5.00,5.00,"Fatima fue muy amable y aparte que se comunico conmigo para hacerme saber que la prenda con la que contaba era de otro color , buen servicio❣️",5.00,1,3379,1844,18844,"2024-04-02 11:06:58","2024-04-02 11:06:12"
173,5.00,0.50,0.50,0.50,"Aun estoy esperando mi paquete. 😪",2.00,1,54265,53896,18945,"2024-04-06 20:53:04","2024-04-06 20:52:35"
187,0.50,0.50,0.50,5.00,"El producto de la publicación dice marca LUZ DA LUA, y ahora que recibí el paquete me salió que son marca BELINDA",0.50,1,54616,35384,19005,"2024-04-12 14:03:09","2024-04-12 14:01:16"
190,5.00,5.00,5.00,5.00,Ameeeeee,5.00,1,38140,54801,19078,"2024-04-16 16:15:15","2024-04-14 20:09:59"
210,5.00,5.00,5.00,5.00,"Excelente servicio, gracias a Kelly por el detallito 😊",5.00,1,52876,55304,19128,"2024-04-24 12:46:26","2024-04-24 12:45:15"
213,5.00,0.50,0.50,5.00,"El producto de la primera imagen no me vino y no corresponden a las fotos, y vienen varias prendas de empresas no vendibles",2.00,1,1,52894,19181,"2024-04-26 15:41:24","2024-04-26 15:39:56"
226,5.00,5.00,5.00,5.00,"¡Super rápida la entrega! Me aceptó la orden rápido y en menos de 24 horas ya me lo entregaron",5.00,1,89,54291,19214,"2024-04-30 11:46:11","2024-04-30 11:45:11"
236,5.00,5.00,5.00,5.00,"El vestido es precioso y la entrega SUPER rápida, al siguiente dia de poner la orden",5.00,1,10009,53430,19306,"2024-05-06 09:24:02","2024-05-06 09:23:21"
247,5.00,5.00,5.00,5.00,"Super rápido todo!",5.00,1,89,57307,19358,"2024-05-09 21:45:49","2024-05-09 21:45:26"
272,5.00,5.00,5.00,5.00,"Excelente calidad del producto!!! Gracias 🙏🏻",5.00,1,2721,55923,19315,"2024-05-14 17:36:52","2024-05-14 17:36:34"
285,1.00,1.00,0.50,1.00,"Saquen a este vendedor, no es responsable con las órdenes.",0.83,1,83,53421,19432,"2024-05-16 15:12:34","2024-05-16 15:12:05"
286,5.00,5.00,5.00,5.00,"Despacho súper rápido!",5.00,1,89,57586,19424,"2024-05-16 15:12:31","2024-05-16 15:12:20"
287,5.00,5.00,5.00,5.00,"¡Todo súper bien!",5.00,1,89,56202,19418,"2024-05-16 15:12:57","2024-05-16 15:12:43"
288,5.00,5.00,5.00,5.00,"Buenísimo vendedor, me encantaron los productos!",5.00,1,83,56202,19431,"2024-05-16 15:14:51","2024-05-16 15:14:40"
296,5.00,5.00,5.00,5.00,"Todo perfecto, gracias",5.00,1,53560,55304,19442,"2024-05-17 13:40:13","2024-05-17 13:39:52"
300,5.00,5.00,5.00,5.00,"Excelente servicio, despacho rápido",5.00,1,41,57728,19449,"2024-05-19 06:05:36","2024-05-19 06:04:06"
311,0.50,0.50,0.50,0.50,"Aun no he recibido mi producto....",0.50,1,43134,57498,19445,"2024-05-21 13:57:28","2024-05-21 13:57:06"
317,4.00,5.00,5.00,5.00,"Muy buen servicio ",4.67,1,57116,10009,19509,"2024-05-22 11:23:18","2024-05-22 11:23:18"
318,4.00,5.00,5.00,5.00,"Lo malo que no se explican  que si pedimos producto de diferente vendedor se paga envío por cada producto y aparte el monto y en el correo mandan un solo total",4.67,1,58170,55898,19525,"2024-05-22 19:09:20","2024-05-22 19:09:20"
319,4.00,5.00,4.00,5.00,"Tiene que especificar el monto por cada artículo que se pide cundo sea de diferentes vendedor.. No un solo total",4.33,1,58170,16246,19524,"2024-05-22 20:05:37","2024-05-22 20:05:37"
324,5.00,5.00,5.00,5.00,"Los zapatos están muy lindos!! Gracias!",5.00,1,3794,1772,19523,"2024-05-23 12:36:11","2024-05-23 12:35:41"
327,4.00,5.00,5.00,4.00,"El producto se entregó en perfecto estado y coincide con lo descrito",4.67,1,58344,15024,19555,"2024-05-23 15:11:22","2024-05-23 15:11:22"
331,5.00,0.50,5.00,1.00,"Totalmente fracaso la vendedora dejará de vender por falta de coordinación de ustedes me pongo en lugar de ella y que feo seria para mi que se me  caiga una venta por ustedes",3.50,1,21859,53070,19558,"2024-05-24 13:26:34","2024-05-24 13:25:33"
334,5.00,5.00,5.00,5.00,"Gran servicio desde la facilidad que presenta la plataforma hasta el sistema de entrega, sigan así por favor.",5.00,1,57990,54986,19545,"2024-05-24 14:12:08","2024-05-24 14:12:08"
347,5.00,5.00,5.00,5.00,"Excelente servicio",5.00,1,58727,56291,19615,"2024-05-28 10:49:24","2024-05-28 10:48:58"
351,5.00,5.00,5.00,5.00,excelente!,5.00,1,58727,56291,19615,"2024-05-28 11:10:00","2024-05-28 11:10:00"
358,5.00,5.00,5.00,5.00,!!,5.00,1,58605,44716,19605,"2024-05-28 18:10:38","2024-05-28 18:10:38"
361,5.00,5.00,5.00,5.00,"ME ENCANTO  💖  
PRODUCTO EXCELENTE",5.00,1,57662,21416,19681,"2024-05-29 12:59:48","2024-05-29 12:59:12"
362,5.00,5.00,5.00,5.00,"Todo ok",5.00,1,41634,3794,19626,"2024-05-29 13:11:19","2024-05-29 13:11:19"
371,5.00,5.00,5.00,4.00,"El pedido vino en el tiempo estipulado",5.00,1,58907,8528,19669,"2024-05-30 13:10:53","2024-05-30 13:10:53"
372,5.00,5.00,5.00,3.00,"Es mi 1ra experiencia con ustedes y no estaba familiarizado con el proceso de entrega,tal.vez por eao senti que sebtardaron en contactarme.Pwro satisfecho con el.producto recibido !!!",5.00,1,58318,57845,19554,"2024-05-30 13:38:42","2024-05-30 13:38:42"
373,5.00,3.50,4.00,4.00,"Traia un detalle como pegamento en una manga, pero por lo demás satisfecho!",4.17,1,2721,58468,19642,"2024-05-30 13:44:29","2024-05-30 13:43:54"
376,5.00,5.00,5.00,5.00,"me encanta el sistema, los productos y atención pero la app y la web se podrían mejorar porque se traban mucho, si uno ve una prenda y regresa se va hasta la primera prenda, a veces se pega también. Todo lo demás excelente",5.00,1,58982,17106,19706,"2024-05-30 19:09:41","2024-05-30 19:09:41"
377,0.50,0.50,0.50,0.50,"no envió",0.50,1,59008,58088,19773,"2024-05-31 12:22:45","2024-05-30 19:52:00"
380,4.50,3.50,5.00,4.50,"Todo bien con la entrega. Pero quisiera devolver el producto, ya que no me quedaron los zapatos y no se me ha hecho el cobro aún.",4.33,1,59031,8528,19770,"2024-05-31 09:25:48","2024-05-31 09:25:06"
381,5.00,5.00,5.00,5.00,"Me encantó, buen servicio ",5.00,1,58902,58614,19668,"2024-05-31 09:53:11","2024-05-31 09:53:11"
384,5.00,5.00,5.00,5.00,"Muy buena logística de entrega ",5.00,1,60302,9973,19851,"2024-05-31 12:46:07","2024-05-31 12:46:07"
390,3.00,5.00,5.00,3.00,"Muy tardadas las entregas, lo peor que no responde cuando uno les envía mensaje para saber cuando llegara el paquete ",4.33,1,51890,10009,19597,"2024-06-03 09:54:56","2024-06-03 09:54:56"
