sku,trackOrder,type_id
M1946251914,https://tracking.goboxful.com?shipment=BFTS-3465-202407019826,20460
M1931734512,https://tracking.goboxful.com?shipment=BFTS-3465-202407019827,20288
M1947751914,https://tracking.goboxful.com?shipment=BFTS-3465-202407019828,20479
M1944855680,https://tracking.goboxful.com?shipment=BFTS-3465-202407019831,20444
M1948560288,https://tracking.goboxful.com?shipment=BFTS-3465-202407019839,20491
M1928560901,https://tracking.goboxful.com?shipment=BFTS-3465-202407019843,20233
M1947961915,https://tracking.goboxful.com?shipment=BFTS-3465-202407019844,20485
M194893794,https://tracking.goboxful.com?shipment=BFTS-3465-202407019859,20495
M1944658822,https://tracking.goboxful.com?shipment=BFTS-3465-202407019862,20441
M1949552351,https://tracking.goboxful.com?shipment=BFTS-3465-202407019874,20502
M1950116246,https://tracking.goboxful.com?shipment=BFTS-3465-202407019875,20508
M1950358788,https://tracking.goboxful.com?shipment=BFTS-3465-202407019884,20511
M1944160468,https://tracking.goboxful.com?shipment=BFTS-3465-202407029895,20436
M195069688,https://tracking.goboxful.com?shipment=BFTS-3465-202407029901,20514
M1950313167,https://tracking.goboxful.com?shipment=BFTS-3465-202407029902,20510
M1950851160,https://tracking.goboxful.com?shipment=BFTS-3465-202407029903,20516
M1950263595,https://tracking.goboxful.com?shipment=BFTS-3465-202407029905,20509
M1950955837,https://tracking.goboxful.com?shipment=BFTS-3465-202407029911,20518
M1950753430,https://tracking.goboxful.com?shipment=BFTS-3465-202407029915,20515
M1949753719,https://tracking.goboxful.com?shipment=BFTS-3465-202407029919,20504
M1937916375,https://tracking.goboxful.com?shipment=BFTS-3465-202407029935,20359
M1938830891,https://tracking.goboxful.com?shipment=BFTS-3465-202407029937,20368
M1949458764,https://tracking.goboxful.com?shipment=BFTS-3465-202407029940,20501
M1950954696,https://tracking.goboxful.com?shipment=BFTS-3465-202407029946,20519
M1950851958,https://tracking.goboxful.com?shipment=BFTS-3465-202407029949,20517
M1951255054,https://tracking.goboxful.com?shipment=BFTS-3465-202407029951,20522
M1951340350,https://tracking.goboxful.com?shipment=BFTS-3465-202407029952,20523
M1946957531,https://tracking.goboxful.com?shipment=BFTS-3465-202407039953,20470
M1951647517,https://tracking.goboxful.com?shipment=BFTS-3465-202407039954,20529
M1951834512,https://tracking.goboxful.com?shipment=BFTS-3465-202407039958,20533
M1951856961,https://tracking.goboxful.com?shipment=BFTS-3465-202407039962,20532
M1951763597,https://tracking.goboxful.com?shipment=BFTS-3465-202407039965,20531
M1951958584,https://tracking.goboxful.com?shipment=BFTS-3465-202407039968,20534
M1952260477,https://tracking.goboxful.com?shipment=BFTS-3465-202407039991,20539
M1952152895,https://tracking.goboxful.com?shipment=BFTS-3465-2024070310003,20538
M195242779,https://tracking.goboxful.com?shipment=BFTS-3465-2024070310010,20541
M195232779,https://tracking.goboxful.com?shipment=BFTS-3465-2024070310011,20540
M1952944716,https://tracking.goboxful.com?shipment=BFTS-3465-2024070310016,20547
M1952953878,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410017,20546
M1952564061,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410018,20542
M195168505,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410019,20528
M1953060759,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410025,20548
M1952649737,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410026,20543
M1952155267,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410030,20537
M1952152895,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410031,20538
M1952155267,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410033,20537
M1953460460,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410054,20553
M1950263595,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410065,20509
M195289900,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410072,20545
M1953213167,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410076,20550
M1953553430,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410078,20555
M1953564455,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410079,20556
M1952721630,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410083,20544
M1953756368,https://tracking.goboxful.com?shipment=BFTS-3465-2024070410084,20559
M1953564455,https://tracking.goboxful.com?shipment=BFTS-3465-2024070510088,20556
M1953856092,https://tracking.goboxful.com?shipment=BFTS-3465-2024070510091,20560
M1953960317,https://tracking.goboxful.com?shipment=BFTS-3465-2024070510093,20561
M192022779,https://tracking.goboxful.com?shipment=BFTS-3465-202406138891,20131
M1954055837,https://tracking.goboxful.com?shipment=BFTS-3465-2024070510103,20562
M1951611696,https://tracking.goboxful.com?shipment=BFTS-3465-2024070510104,20530
M1954154899,https://tracking.goboxful.com?shipment=BFTS-3465-2024070510129,20563
M195353794,https://tracking.goboxful.com?shipment=BFTS-3465-2024070510130,20557
M1954554240,https://tracking.goboxful.com?shipment=BFTS-3465-2024070510141,20567
M1954655961,https://tracking.goboxful.com?shipment=BFTS-3465-2024070510142,20568
M1954859064,https://tracking.goboxful.com?shipment=BFTS-3465-2024070610148,20570
M1953618571,https://tracking.goboxful.com?shipment=BFTS-3465-2024070610160,20558
M1954747530,https://tracking.goboxful.com?shipment=BFTS-3465-2024070610166,20569
