Original_URL,Redirection_URL
BFTS-3465-2024090813931,https://c807xpresssv.dispatchtrack.com/track/99067c3bb29801a3ed47217d
BFTS-3465-2024090813932,https://c807xpresssv.dispatchtrack.com/track/c5546b6d094d2c21fdb1786e
BFTS-3465-2024090813943,https://c807xpresssv.dispatchtrack.com/track/92ad9a4054eaf88c40ca8edb
BFTS-3465-2024090813944,https://c807xpresssv.dispatchtrack.com/track/7b5d80ead711e41b81b0cf54
BFTS-3465-2024090813945,https://c807xpresssv.dispatchtrack.com/track/bc5212fb1fd93e05595f490b
BFTS-3465-2024090813946,https://c807xpresssv.dispatchtrack.com/track/5bc1603f57244c6037b24ab4
BFTS-3465-2024090813947,https://c807xpresssv.dispatchtrack.com/track/6b1f5da009ecae99111c4c80
BFTS-3465-2024090813948,https://c807xpresssv.dispatchtrack.com/track/8ac7ff5c8722312740437be5
BFTS-3465-2024090813949,https://c807xpresssv.dispatchtrack.com/track/173480c1da27e66417c675c7
BFTS-3465-2024090813950,https://c807xpresssv.dispatchtrack.com/track/39a87d533e1592a3678b6677
BFTS-3465-2024090813951,https://c807xpresssv.dispatchtrack.com/track/73f45159d0176d37cc1365ae
BFTS-3465-2024090813952,https://c807xpresssv.dispatchtrack.com/track/4c9b377c1384f250a287260c
BFTS-3465-2024090813953,https://c807xpresssv.dispatchtrack.com/track/916093e98e9974554cb30058
BFTS-3465-2024090813954,https://c807xpresssv.dispatchtrack.com/track/8ae324cd3fc02fef5dad364a
BFTS-3465-2024090813955,https://c807xpresssv.dispatchtrack.com/track/518ebca073aed12f5306e91f
BFTS-3465-2024090813958,https://c807xpresssv.dispatchtrack.com/track/9a6cf8ee923403ecca83aa96
BFTS-3465-2024090813959,https://c807xpresssv.dispatchtrack.com/track/65a6a1e54847f75a850030a4
BFTS-3465-2024090813961,https://c807xpresssv.dispatchtrack.com/track/681c955b0f1a9ad706d037b4
BFTS-3465-2024090913962,https://c807xpresssv.dispatchtrack.com/track/914140d58d3c97086f0fc7b6
BFTS-3465-2024090913963,https://c807xpresssv.dispatchtrack.com/track/50562d527f668a2a9f2b4e4e
BFTS-3465-2024090913964,https://c807xpresssv.dispatchtrack.com/track/76445f994e3eca7afa324a39
BFTS-3465-2024090913966,https://c807xpresssv.dispatchtrack.com/track/3d9a1f47729c0f19b3806c31
BFTS-3465-2024090913969,https://c807xpresssv.dispatchtrack.com/track/6af8c1e4b0d7c7bee549eba7
BFTS-3465-2024090913970,https://c807xpresssv.dispatchtrack.com/track/45310aa33ea0ab220373f2a6
BFTS-3465-2024090913975,https://c807xpresssv.dispatchtrack.com/track/62b269e2eb7cbe51a7518ecd
BFTS-3465-2024090913985,https://c807xpresssv.dispatchtrack.com/track/02935d76eeb6cd562430e0b5
BFTS-3465-2024090913988,https://c807xpresssv.dispatchtrack.com/track/e22239155079f650c4776a26
BFTS-3465-2024090913993,https://c807xpresssv.dispatchtrack.com/track/f61055209c3dfb0d8eee2165
BFTS-3465-2024090914010,https://c807xpresssv.dispatchtrack.com/track/30ab2b61f7f3eabec727d7ce
BFTS-3465-2024090914021,https://c807xpresssv.dispatchtrack.com/track/b76129fd6636a7768dd000b3
BFTS-3465-2024090914022,https://c807xpresssv.dispatchtrack.com/track/b56f26d4ac17cf08bdd3d9c8
BFTS-3465-2024090914023,https://c807xpresssv.dispatchtrack.com/track/3629c695a917896e392e86f5
BFTS-3465-2024090914032,https://c807xpresssv.dispatchtrack.com/track/7d532acc2d14015a7e9c6212
BFTS-3465-2024090914033,https://c807xpresssv.dispatchtrack.com/track/47aa4549cdc60967b0c1546d
BFTS-3465-2024090914036,https://c807xpresssv.dispatchtrack.com/track/bbd8541ebae79d462e155ce9
BFTS-3465-2024090914037,https://c807xpresssv.dispatchtrack.com/track/2bf100c35b3a98420750d5df
BFTS-3465-2024090914038,https://c807xpresssv.dispatchtrack.com/track/69148f998b543ead8b0105e0
BFTS-3465-2024090914042,https://c807xpresssv.dispatchtrack.com/track/3fd2bd6565354b695a9dcdc0
BFTS-3465-2024090914044,https://c807xpresssv.dispatchtrack.com/track/cc441bba1d3583ffe1059c3e
BFTS-3465-2024090914045,https://c807xpresssv.dispatchtrack.com/track/6ab0dfb619f3488cb53af5cd
BFTS-3465-2024090914046,https://c807xpresssv.dispatchtrack.com/track/69fd0d161e752e4572ae081e
BFTS-3465-2024090914047,https://c807xpresssv.dispatchtrack.com/track/a5e398df8ee371dfa94a65bb
BFTS-3465-2024090914048,https://c807xpresssv.dispatchtrack.com/track/c1a654cf2484199f124ca49d
BFTS-3465-2024090914050,https://c807xpresssv.dispatchtrack.com/track/446c4e33cea97fce2ba0cdfd
BFTS-3465-2024090914051,https://c807xpresssv.dispatchtrack.com/track/ff203a58e81b6b3ebc300349
BFTS-3465-2024090914071,https://c807xpresssv.dispatchtrack.com/track/9bc5e7ec31e0337160972db4
BFTS-3465-2024091014072,https://c807xpresssv.dispatchtrack.com/track/8e85e38005b4ba914614e496
BFTS-3465-2024091014073,https://c807xpresssv.dispatchtrack.com/track/3c13fefe0154ddfb26b45829
BFTS-3465-2024091014074,https://c807xpresssv.dispatchtrack.com/track/adde87d5acef0c64dda93d28
BFTS-3465-2024091014078,https://c807xpresssv.dispatchtrack.com/track/d8ac61d3a7eae7b3dc6dcbd2
BFTS-3465-2024091014084,https://c807xpresssv.dispatchtrack.com/track/4d36d1c7a2faff6397b729d6
BFTS-3465-2024091014097,https://c807xpresssv.dispatchtrack.com/track/877f666c0c304ebc1cefb565
BFTS-3465-2024091014109,https://c807xpresssv.dispatchtrack.com/track/36b88b08397b4a119c7c1045
BFTS-3465-2024091014111,https://c807xpresssv.dispatchtrack.com/track/e3f5f0214328f567815603d4
BFTS-3465-2024091014113,https://c807xpresssv.dispatchtrack.com/track/196d5d6ec3697ca645e41181
BFTS-3465-2024091014115,https://c807xpresssv.dispatchtrack.com/track/95085ed2b3ccb77985ae0910
BFTS-3465-2024091014118,https://c807xpresssv.dispatchtrack.com/track/5d45fa5353c858d8fc8139a2
BFTS-3465-2024091014119,https://c807xpresssv.dispatchtrack.com/track/df4e8f53a81850f06c15ea21
BFTS-3465-2024091014120,https://c807xpresssv.dispatchtrack.com/track/c67fbac87905ab57c041f02f
BFTS-3465-2024091014122,https://c807xpresssv.dispatchtrack.com/track/57c9fe70a1f9ba36b16991e5
BFTS-3465-2024091014124,https://c807xpresssv.dispatchtrack.com/track/8340ac5c3f1323b77d45cbd7
BFTS-3465-2024091014125,https://c807xpresssv.dispatchtrack.com/track/94793fd4e8f8d55964b66a8e
BFTS-3465-2024091014126,https://c807xpresssv.dispatchtrack.com/track/29876d0e7156a51557abb202
BFTS-3465-2024091014127,https://c807xpresssv.dispatchtrack.com/track/85b9c3f1441807f4bf20d3b1
BFTS-3465-2024091014128,https://c807xpresssv.dispatchtrack.com/track/7982b3b154c17c4afa8b845e
BFTS-3465-2024091014134,https://c807xpresssv.dispatchtrack.com/track/7c1d8e42cfbb710832f2845e
BFTS-3465-2024091014135,https://c807xpresssv.dispatchtrack.com/track/82901d0bbbac98daafe9dd5d
BFTS-3465-2024091014136,https://c807xpresssv.dispatchtrack.com/track/03fdd46c8ef3db38c438cc8b
BFTS-3465-2024091014137,https://c807xpresssv.dispatchtrack.com/track/8b16062ac1ddd737b432a613
BFTS-3465-2024091114145,https://c807xpresssv.dispatchtrack.com/track/148dd554a6930aa751a406d6
BFTS-3465-2024091114150,https://c807xpresssv.dispatchtrack.com/track/5a4d70695b2f2f36d1997bc8
