sku,trackOrder,type_id,created_at,order_state_id
M2017936983,https://tracking.goboxful.com?shipment=BFTS-3465-2024090113610,21391,"2024-09-01 06:50:40",3
M2017957359,https://tracking.goboxful.com?shipment=BFTS-3465-2024090113613,21390,"2024-09-01 10:13:43",3
M2017751130,https://tracking.goboxful.com?shipment=BFTS-3465-2024090113614,21385,"2024-09-01 11:41:17",3
M2018068707,https://tracking.goboxful.com?shipment=BFTS-3465-2024090113615,21392,"2024-09-01 12:48:22",3
M2017747602,https://tracking.goboxful.com?shipment=BFTS-3465-2024090113619,21384,"2024-09-01 17:12:12",3
M2018270003,https://tracking.goboxful.com?shipment=BFTS-3465-2024090113620,21395,"2024-09-01 23:08:08",3
M2017644716,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213621,21381,"2024-09-02 06:23:00",4
M2017752703,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213622,21382,"2024-09-02 07:26:27",3
M2018544716,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213623,21399,"2024-09-02 08:55:44",3
M2018351160,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213626,21397,"2024-09-02 09:13:56",3
M2017254801,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213628,21376,"2024-09-02 09:51:30",3
M2018857902,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213636,21402,"2024-09-02 10:47:00",3
M2018960314,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213640,21403,"2024-09-02 11:00:44",3
M2016655837,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213641,21368,"2024-09-02 11:02:14",3
M2017757586,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213650,21387,"2024-09-02 11:27:30",3
M2019248842,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213651,21408,"2024-09-02 11:28:12",3
M2019165260,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213655,21407,"2024-09-02 11:36:34",3
M2018760815,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213675,21401,"2024-09-02 16:56:24",3
M2019354290,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213676,21409,"2024-09-02 17:45:18",3
M2019467932,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213680,21410,"2024-09-02 20:00:28",3
M2019470274,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213681,21411,"2024-09-02 20:02:50",3
M2019747107,https://tracking.goboxful.com?shipment=BFTS-3465-2024090213695,21414,"2024-09-02 22:31:33",3
M2015347517,https://tracking.goboxful.com?shipment=BFTS-3465-2024090313698,21352,"2024-09-03 08:43:55",3
M2018068707,https://tracking.goboxful.com?shipment=BFTS-3465-2024090313723,21392,"2024-09-03 11:50:41",3
M2017752703,https://tracking.goboxful.com?shipment=BFTS-3465-2024090313726,21382,"2024-09-03 11:56:06",3
M2020063243,https://tracking.goboxful.com?shipment=BFTS-3465-2024090313741,21417,"2024-09-03 18:54:08",3
M2020149737,https://tracking.goboxful.com?shipment=BFTS-3465-2024090313742,21418,"2024-09-03 19:25:03",3
M2019864451,https://tracking.goboxful.com?shipment=BFTS-3465-2024090313744,21415,"2024-09-03 20:32:04",3
M2020254801,https://tracking.goboxful.com?shipment=BFTS-3465-2024090413759,21420,"2024-09-04 06:01:49",3
M2020354936,https://tracking.goboxful.com?shipment=BFTS-3465-2024090413761,21421,"2024-09-04 07:50:23",3
M2020560815,https://tracking.goboxful.com?shipment=BFTS-3465-2024090413796,21423,"2024-09-04 16:08:26",3
M2021066153,https://tracking.goboxful.com?shipment=BFTS-3465-2024090413798,21428,"2024-09-04 20:52:10",3
M2021269203,https://tracking.goboxful.com?shipment=BFTS-3465-2024090413803,21430,"2024-09-04 21:59:38",3
M2021169203,https://tracking.goboxful.com?shipment=BFTS-3465-2024090413804,21429,"2024-09-04 22:00:18",3
M2019248842,https://tracking.goboxful.com?shipment=BFTS-3465-2024090513813,21408,"2024-09-05 11:32:27",3
M2019248842,https://tracking.goboxful.com?shipment=BFTS-3465-2024090513814,21408,"2024-09-05 11:33:13",3
M2018068707,https://tracking.goboxful.com?shipment=BFTS-3465-2024090513815,21392,"2024-09-05 11:33:26",3
M2021269203,https://tracking.goboxful.com?shipment=BFTS-3465-2024090513831,21430,"2024-09-05 15:21:50",3
M2020470792,https://tracking.goboxful.com?shipment=BFTS-3465-2024090513833,21422,"2024-09-05 15:54:27",3
M2021451160,https://tracking.goboxful.com?shipment=BFTS-3465-2024090513837,21432,"2024-09-05 19:56:53",3
M2021610158,https://tracking.goboxful.com?shipment=BFTS-3465-2024090513839,21434,"2024-09-05 20:40:46",3
M2021856669,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613867,21436,"2024-09-06 12:52:44",3
M2022034950,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613884,21442,"2024-09-06 16:12:41",3
M2022065605,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613885,21438,"2024-09-06 16:30:31",3
M2021312239,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613886,21431,"2024-09-06 16:44:20",3
M2022157064,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613888,21445,"2024-09-06 17:00:53",4
M2022357826,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613890,21447,"2024-09-06 18:44:16",3
M2022339253,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613891,21450,"2024-09-06 19:23:05",3
M2022339253,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613892,21450,"2024-09-06 19:24:26",3
M2022252182,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613894,21446,"2024-09-06 19:40:46",3
M2022444716,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613895,21451,"2024-09-06 21:34:50",3
M2022067159,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613896,21441,"2024-09-06 22:03:17",4
M2022067159,https://tracking.goboxful.com?shipment=BFTS-3465-2024090613897,21441,"2024-09-06 22:19:53",4
M2022889,https://tracking.goboxful.com?shipment=BFTS-3465-2024090713905,21455,"2024-09-07 09:22:16",3
M2021269203,https://tracking.goboxful.com?shipment=BFTS-3465-2024090713909,21430,"2024-09-07 10:32:22",3
M2023066070,https://tracking.goboxful.com?shipment=BFTS-3465-2024090713919,21457,"2024-09-07 11:50:02",3
M2023161124,https://tracking.goboxful.com?shipment=BFTS-3465-2024090713920,21458,"2024-09-07 12:38:08",3
M202202779,https://tracking.goboxful.com?shipment=BFTS-3465-2024090713921,21440,"2024-09-07 13:08:29",3
