,usuario,Finicio,Ffinal,diferencia_entre_fechas,frecuencia_compra,desviacion_estandar,cantidad_elementos
1509,14032.0,2022-11-21,2023-04-30,"[60, 32, 68]",53.333333333333336,15.4344492037203,3
1510,14033.0,2024-05-28,2024-09-27,"[18, 92, 12]",40.666666666666664,36.38070306571267,3
1511,14038.0,2022-10-03,2022-10-03,[],,,0
1512,14042.0,2022-11-28,2022-11-28,[],,,0
1513,14047.0,2022-10-03,2022-10-03,[],,,0
1514,14056.0,2022-10-22,2023-03-29,"[8, 45, 8, 3, 77, 17]",26.333333333333332,26.518337470931737,6
1515,14061.0,2022-12-07,2022-12-07,[],,,0
1516,14062.0,2022-10-03,2022-10-03,[],,,0
1517,14074.0,2022-10-04,2024-06-10,"[70, 545]",307.5,237.5,2
1518,14077.0,2022-10-05,2022-10-20,[15],15.0,0.0,1
1519,14082.0,2022-12-28,2022-12-28,[],,,0
1520,14086.0,2023-05-30,2024-01-22,"[168, 11, 58]",79.0,65.79260343432738,3
1521,14097.0,2022-12-27,2023-04-24,[118],118.0,0.0,1
1522,14105.0,2022-10-05,2022-10-05,[],,,0
1523,14106.0,2022-11-14,2023-07-01,"[136, 28, 6, 27, 32]",45.8,46.00173909756022,5
1524,14108.0,2022-11-22,2022-11-22,[],,,0
1525,14110.0,2023-04-16,2023-09-20,"[148, 9]",78.5,69.5,2
1526,14114.0,2023-08-18,2023-08-18,[],,,0
1527,14118.0,2022-10-05,2022-10-05,[],,,0
1528,14120.0,2022-10-05,2023-06-12,"[137, 113]",125.0,12.0,2
1529,14121.0,2022-10-13,2022-10-13,[],,,0
1530,14122.0,2023-02-24,2023-02-24,[],,,0
1531,14136.0,2022-10-05,2022-10-05,[],,,0
1532,14168.0,2024-07-07,2024-07-07,[],,,0
1533,14177.0,2022-10-06,2023-02-21,"[69, 69]",69.0,0.0,2
1534,14194.0,2023-02-16,2023-02-16,[],,,0
1535,14202.0,2022-10-30,2022-10-30,[],,,0
1536,14204.0,2022-10-12,2023-06-20,"[1, 7, 9, 4, 5, 5, 26, 14, 15, 14, 32, 35, 84]",19.307692307692307,21.39153180901486,13
1537,14222.0,2022-10-06,2023-10-25,"[32, 110, 193, 49]",96.0,63.067424237874185,4
1538,14249.0,2022-10-27,2022-10-27,[],,,0
1539,14266.0,2022-10-07,2022-12-15,"[13, 1, 55]",23.0,23.15167380558045,3
1540,14305.0,2023-05-07,2023-05-07,[],,,0
1541,14317.0,2022-10-11,2024-10-20,"[2, 4, 3, 5, 4, 3, 10, 2, 4, 3, 10, 10, 2, 1, 38, 119, 2, 8, 1, 2, 7, 6, 1, 6, 47, 21, 3, 3, 2, 1, 2, 4, 5, 1, 21, 12, 8, 9, 5, 4, 11, 15, 40, 45, 184, 20, 10, 6, 5, 3]",14.8,30.70765376905243,50
1542,14330.0,2024-10-01,2024-10-01,[],,,0
1543,14331.0,2022-10-07,2024-05-23,"[5, 4, 4, 10, 12, 30, 3, 1, 196, 8, 170, 49, 42, 60]",42.42857142857143,60.44680575953217,14
1544,14378.0,2022-10-07,2023-01-21,"[29, 29, 2, 46]",26.5,15.75595125658873,4
1545,14441.0,2023-03-05,2023-03-05,[],,,0
1546,14443.0,2022-10-07,2023-09-14,"[25, 27, 90, 74, 70, 56]",57.0,24.055491403558285,6
1547,14449.0,2023-05-10,2023-05-10,[],,,0
1548,14455.0,2022-10-07,2023-07-04,"[8, 10, 26, 2, 30, 4, 31, 30, 22, 20, 87]",24.545454545454547,22.252124051276283,11
1549,14475.0,2023-03-20,2023-07-13,"[35, 17, 63]",38.333333333333336,18.92675942210452,3
1550,14476.0,2022-10-07,2023-03-19,"[6, 16, 30, 4, 107]",32.6,38.32283914325764,5
1551,14477.0,2022-10-07,2024-08-10,"[660, 13]",336.5,323.5,2
1552,14485.0,2024-02-01,2024-02-01,[],,,0
1553,14493.0,2023-01-12,2023-12-27,"[2, 4, 73, 7, 168, 95]",58.166666666666664,61.02845420148066,6
1554,14494.0,2022-10-07,2022-10-07,[],,,0
1555,14512.0,2022-10-08,2023-10-19,"[6, 6, 60, 8, 10, 24, 70, 192]",47.0,59.69087032369355,8
1556,14531.0,2022-10-08,2022-10-08,[],,,0
1557,14541.0,2022-11-07,2022-12-01,[24],24.0,0.0,1
1558,14564.0,2022-10-08,2022-10-08,[],,,0
1559,14577.0,2024-06-23,2024-06-23,[],,,0
1560,14579.0,2022-10-08,2022-10-08,[],,,0
1561,14582.0,2022-10-13,2022-10-13,[],,,0
1562,14594.0,2022-10-08,2023-09-16,"[25, 21, 25, 4, 4, 3, 45, 111, 34, 43, 28]",31.181818181818183,28.875337642475145,11
1563,14615.0,2022-10-11,2023-06-05,"[7, 31, 6, 1, 3, 46, 6, 1, 14, 20, 11, 29, 10, 21, 3, 16, 9, 3]",13.166666666666666,11.884864324004715,18
1564,14625.0,2022-10-09,2023-07-08,"[11, 67, 13, 10, 20, 53, 98]",38.857142857142854,31.899075541591536,7
1565,14630.0,2022-10-30,2022-10-30,[],,,0
1566,14640.0,2023-01-29,2023-02-26,[28],28.0,0.0,1
1567,14664.0,2022-10-09,2022-10-09,[],,,0
1568,14692.0,2022-10-09,2022-10-09,[],,,0
1569,14754.0,2022-12-13,2022-12-16,[3],3.0,0.0,1
1570,14822.0,2022-11-28,2024-01-10,[408],408.0,0.0,1
1571,14829.0,2023-06-28,2023-08-18,[51],51.0,0.0,1
1572,14845.0,2022-10-16,2022-10-16,[],,,0
1573,14851.0,2022-10-14,2022-10-14,[],,,0
1574,14853.0,2022-10-10,2022-10-10,[],,,0
1575,14869.0,2022-10-10,2022-10-10,[],,,0
1576,14877.0,2022-10-28,2022-11-27,[30],30.0,0.0,1
1577,14903.0,2022-11-17,2023-11-29,"[22, 355]",188.5,166.5,2
1578,14916.0,2022-10-10,2022-11-14,[35],35.0,0.0,1
1579,14917.0,2023-01-26,2023-01-26,[],,,0
1580,14919.0,2022-11-18,2023-07-11,"[22, 1, 191, 19, 2]",47.0,72.50655142812958,5
1581,14945.0,2022-11-23,2022-11-23,[],,,0
1582,14953.0,2022-10-10,2022-12-11,[62],62.0,0.0,1
1583,14964.0,2023-01-13,2023-12-17,"[31, 282, 25]",112.66666666666667,119.76180062477722,3
1584,14986.0,2023-04-17,2023-04-17,[],,,0
1585,14992.0,2023-05-20,2023-05-20,[],,,0
1586,15005.0,2022-10-26,2022-10-26,[],,,0
1587,15013.0,2022-10-10,2022-10-10,[],,,0
1588,15024.0,2023-06-23,2024-04-22,"[174, 130]",152.0,22.0,2
1589,15058.0,2022-10-11,2022-10-11,[],,,0
1590,15067.0,2022-12-10,2023-07-11,[213],213.0,0.0,1
1591,15070.0,2022-10-11,2022-10-11,[],,,0
1592,15107.0,2022-10-11,2023-01-16,[97],97.0,0.0,1
1593,15131.0,2022-10-18,2022-10-18,[],,,0
1594,15133.0,2023-06-28,2024-03-26,[272],272.0,0.0,1
1595,15138.0,2022-10-12,2022-10-12,[],,,0
1596,15141.0,2022-10-25,2022-10-25,[],,,0
1597,15147.0,2022-10-12,2022-10-12,[],,,0
1598,15148.0,2022-10-12,2022-10-12,[],,,0
1599,15170.0,2022-10-12,2022-10-18,[6],6.0,0.0,1
1600,15174.0,2022-10-13,2024-03-05,"[7, 48, 20, 210, 224]",101.8,95.09237614025638,5
1601,15176.0,2022-12-20,2022-12-20,[],,,0
1602,15181.0,2022-10-12,2024-10-09,"[47, 680, 1]",242.66666666666666,309.81105352922594,3
1603,15188.0,2022-12-12,2024-10-03,"[60, 35, 60, 59, 139, 308]",110.16666666666667,94.22564524704632,6
1604,15203.0,2022-10-13,2024-07-10,"[474, 128, 34]",212.0,189.19478498802937,3
1605,15204.0,2023-05-07,2023-05-07,[],,,0
1606,15208.0,2022-10-13,2022-10-13,[],,,0
1607,15214.0,2022-10-27,2024-06-13,"[15, 26, 37, 9, 5, 28, 131, 344]",74.375,108.63003440577565,8
1608,15220.0,2022-10-13,2022-10-20,[7],7.0,0.0,1
1609,15226.0,2022-10-13,2022-10-13,[],,,0
1610,15229.0,2022-10-15,2022-10-15,[],,,0
1611,15230.0,2022-10-13,2022-10-13,[],,,0
1612,15236.0,2022-10-13,2022-10-13,[],,,0
1613,15241.0,2022-10-14,2022-11-11,"[10, 3, 13, 2]",7.0,4.636809247747852,4
1614,15245.0,2022-10-13,2022-10-13,[],,,0
1615,15246.0,2022-10-17,2022-12-26,"[20, 28, 14, 8]",17.5,7.399324293474371,4
1616,15250.0,2024-05-15,2024-05-15,[],,,0
1617,15252.0,2023-02-12,2023-08-15,"[14, 7, 16, 6, 40, 65, 36]",26.285714285714285,20.076384746507422,7
1618,15258.0,2022-10-16,2023-07-10,"[9, 6, 6, 7, 6, 16, 2, 37, 2, 11, 45, 51, 69]",20.53846153846154,21.29505318004227,13
1619,15268.0,2022-10-14,2022-10-14,[],,,0
1620,15273.0,2022-10-29,2022-10-29,[],,,0
1621,15275.0,2022-10-14,2022-10-14,[],,,0
1622,15289.0,2022-10-14,2023-03-22,"[24, 15, 6, 19, 2, 22, 9, 1, 61]",17.666666666666668,17.256238807393046,9
1623,15300.0,2023-02-23,2023-02-23,[],,,0
1624,15306.0,2022-10-14,2022-10-14,[],,,0
1625,15311.0,2022-10-14,2022-10-14,[],,,0
1626,15320.0,2022-10-15,2022-10-15,[],,,0
1627,15324.0,2022-12-06,2022-12-06,[],,,0
1628,15325.0,2022-10-15,2022-10-15,[],,,0
1629,15328.0,2022-10-15,2022-10-15,[],,,0
1630,15329.0,2022-10-22,2024-10-12,"[77, 48, 65, 21, 27, 147, 29, 56, 251]",80.11111111111111,70.28109346592035,9
1631,15333.0,2023-02-24,2023-09-12,"[56, 28, 12, 35, 69]",40.0,20.248456731316587,5
1632,15340.0,2023-10-20,2023-10-20,[],,,0
1633,15345.0,2022-11-14,2022-11-14,[],,,0
1634,15365.0,2022-10-16,2022-10-20,[4],4.0,0.0,1
1635,15380.0,2022-10-16,2022-10-16,[],,,0
1636,15395.0,2022-10-16,2022-10-16,[],,,0
1637,15396.0,2022-10-16,2022-10-16,[],,,0
1638,15401.0,2022-11-19,2022-11-23,[4],4.0,0.0,1
1639,15406.0,2022-10-16,2022-10-16,[],,,0
1640,15407.0,2022-10-16,2022-10-16,[],,,0
1641,15409.0,2022-10-20,2022-10-20,[],,,0
1642,15416.0,2022-10-17,2022-10-20,[3],3.0,0.0,1
1643,15420.0,2022-11-01,2022-11-01,[],,,0
1644,15423.0,2022-10-16,2022-10-16,[],,,0
1645,15426.0,2022-10-17,2024-09-06,"[30, 35, 20, 45, 3, 151, 33, 84, 22, 267]",69.0,77.24506456725892,10
1646,15431.0,2022-11-20,2022-11-20,[],,,0
1647,15432.0,2023-03-28,2023-06-06,"[44, 26]",35.0,9.0,2
1648,15433.0,2022-11-27,2022-11-27,[],,,0
1649,15439.0,2023-01-09,2023-01-09,[],,,0
1650,15444.0,2022-10-17,2023-08-21,"[45, 117, 18, 26, 102]",61.6,40.361367667610075,5
1651,15445.0,2022-10-17,2022-10-20,[3],3.0,0.0,1
1652,15447.0,2022-10-22,2022-10-22,[],,,0
1653,15448.0,2022-10-19,2023-04-03,"[7, 26, 65, 68]",41.5,25.90849281606323,4
1654,15453.0,2023-01-09,2023-01-26,"[14, 3]",8.5,5.5,2
1655,15460.0,2022-12-07,2023-04-12,"[21, 5, 4, 96]",31.5,37.84507894033252,4
1656,15487.0,2022-10-18,2023-01-29,"[3, 36, 23, 41]",25.75,14.686303142724515,4
1657,15489.0,2022-10-18,2023-12-15,"[2, 47, 27, 16, 168, 2, 57, 104]",52.875,53.76438760927162,8
1658,15492.0,2022-10-18,2022-10-18,[],,,0
1659,15500.0,2022-11-26,2023-01-13,"[32, 16]",24.0,8.0,2
1660,15507.0,2022-10-23,2022-10-24,[1],1.0,0.0,1
1661,15510.0,2022-10-18,2024-03-29,"[151, 224, 13, 7, 9, 7, 1, 4, 4, 13, 7, 5, 12, 6, 6, 7, 5, 7, 10, 30]",26.4,55.227167227733126,20
1662,15513.0,2022-10-27,2022-10-27,[],,,0
1663,15514.0,2022-11-13,2024-06-16,[581],581.0,0.0,1
1664,15521.0,2022-11-03,2024-08-12,"[20, 1, 1, 12, 22, 231, 361]",92.57142857142857,133.48392855948416,7
1665,15525.0,2022-10-19,2023-03-12,"[3, 99, 7, 35]",36.0,38.40572873934304,4
1666,15533.0,2022-10-19,2022-10-19,[],,,0
1667,15539.0,2022-10-19,2023-01-23,"[19, 17, 60]",32.0,19.8158185969358,3
1668,15540.0,2022-10-19,2024-05-05,"[11, 14, 13, 15, 18, 11, 13, 9, 15, 8, 437]",51.27272727272727,122.00826418290534,11
1669,15545.0,2022-10-27,2022-10-31,[4],4.0,0.0,1
1670,15551.0,2023-04-14,2023-05-15,[31],31.0,0.0,1
1671,15555.0,2022-10-19,2022-10-19,[],,,0
1672,15556.0,2022-10-19,2022-10-19,[],,,0
1673,15572.0,2022-10-20,2022-10-20,[],,,0
1674,15574.0,2022-10-20,2022-10-20,[],,,0
1675,15575.0,2022-10-22,2022-10-22,[],,,0
1676,15582.0,2022-10-20,2022-10-20,[],,,0
1677,15600.0,2022-10-20,2022-10-20,[],,,0
1678,15604.0,2022-10-20,2022-10-20,[],,,0
1679,15606.0,2022-10-20,2023-11-27,"[18, 385]",201.5,183.5,2
1680,15615.0,2022-10-21,2022-10-21,[],,,0
1681,15619.0,2022-10-21,2022-10-21,[],,,0
1682,15620.0,2022-10-21,2022-10-21,[],,,0
1683,15628.0,2022-10-21,2022-10-30,[9],9.0,0.0,1
1684,15635.0,2022-10-21,2022-10-21,[],,,0
1685,15643.0,2022-10-21,2022-10-21,[],,,0
1686,15645.0,2022-10-21,2022-12-01,"[5, 7, 23, 6]",10.25,7.39509972887452,4
1687,15647.0,2022-10-21,2023-01-18,"[14, 40, 35]",29.666666666666668,11.264496832477201,3
1688,15649.0,2022-10-21,2022-12-28,"[26, 42]",34.0,8.0,2
1689,15651.0,2022-10-21,2022-10-21,[],,,0
1690,15652.0,2023-05-08,2023-05-08,[],,,0
1691,15654.0,2022-10-21,2022-12-22,[62],62.0,0.0,1
1692,15656.0,2022-10-21,2022-10-21,[],,,0
1693,15662.0,2022-10-21,2022-10-21,[],,,0
1694,15665.0,2023-05-25,2023-05-25,[],,,0
1695,15675.0,2023-02-17,2023-02-17,[],,,0
1696,15681.0,2022-10-22,2022-10-22,[],,,0
1697,15688.0,2022-10-30,2023-10-31,"[8, 20, 16, 9, 149, 57, 22, 5, 6, 13, 13, 18, 14, 16]",26.142857142857142,36.195613670437915,14
1698,15692.0,2022-10-22,2022-10-22,[],,,0
1699,15701.0,2022-10-22,2022-10-22,[],,,0
1700,15710.0,2022-10-22,2023-02-04,"[5, 16, 17, 27, 25, 15]",17.5,7.205322107072429,6
1701,15711.0,2022-10-22,2022-11-13,[22],22.0,0.0,1
1702,15715.0,2022-10-22,2022-10-22,[],,,0
1703,15721.0,2022-10-23,2023-08-11,"[6, 116, 170]",97.33333333333333,68.24140157476903,3
1704,15723.0,2022-11-06,2023-12-26,"[3, 4, 13, 2, 4, 3, 6, 3, 6, 6, 7, 4, 58, 25, 67, 7, 15, 13, 13, 23, 2, 131]",18.863636363636363,29.665246661778024,22
1705,15727.0,2022-10-23,2022-10-23,[],,,0
1706,15732.0,2022-10-23,2023-03-19,"[44, 89, 14]",49.0,30.822070014844883,3
1707,15734.0,2022-12-08,2022-12-08,[],,,0
1708,15735.0,2022-10-23,2022-10-23,[],,,0
1709,15737.0,2022-10-26,2022-10-26,[],,,0
1710,15738.0,2022-10-23,2022-10-23,[],,,0
1711,15747.0,2022-10-23,2022-10-23,[],,,0
1712,15748.0,2024-08-11,2024-08-11,[],,,0
1713,15752.0,2022-10-24,2022-10-26,[2],2.0,0.0,1
1714,15764.0,2022-10-25,2023-09-29,"[3, 16, 66, 70, 184]",67.8,63.86360465867864,5
1715,15771.0,2022-11-30,2022-11-30,[],,,0
1716,15772.0,2022-11-21,2022-11-21,[],,,0
1717,15773.0,2022-10-24,2022-10-24,[],,,0
1718,15785.0,2022-11-08,2022-11-08,[],,,0
1719,15787.0,2022-10-24,2022-10-24,[],,,0
1720,15790.0,2022-10-24,2022-10-24,[],,,0
1721,15793.0,2022-10-24,2022-12-05,"[8, 22, 2, 8, 2]",8.4,7.310266752998826,5
1722,15797.0,2022-10-24,2024-06-18,"[11, 41, 6, 23, 19, 10, 8, 7, 31, 116, 42, 116, 35, 68, 48, 22]",37.6875,33.99396775532389,16
1723,15799.0,2022-10-24,2022-10-24,[],,,0
1724,15800.0,2022-10-24,2022-10-24,[],,,0
1725,15802.0,2022-10-24,2022-10-24,[],,,0
1726,15805.0,2022-11-04,2022-11-04,[],,,0
1727,15807.0,2022-10-27,2022-10-27,[],,,0
1728,15809.0,2022-11-30,2023-07-01,[213],213.0,0.0,1
1729,15813.0,2022-10-25,2022-10-25,[],,,0
1730,15815.0,2022-10-25,2022-12-19,[55],55.0,0.0,1
1731,15817.0,2022-10-25,2022-10-25,[],,,0
1732,15819.0,2022-10-25,2022-10-25,[],,,0
1733,15820.0,2022-12-08,2024-10-11,"[103, 10, 87, 3, 27, 21, 44, 55, 8, 231, 4, 80]",56.083333333333336,62.25948165183802,12
1734,15826.0,2023-06-19,2023-06-19,[],,,0
1735,15829.0,2022-10-25,2022-10-25,[],,,0
1736,15833.0,2022-10-25,2022-10-25,[],,,0
1737,15840.0,2022-10-31,2023-09-30,[334],334.0,0.0,1
1738,15847.0,2022-11-25,2023-10-01,"[163, 100, 47]",103.33333333333333,47.41542177627678,3
1739,15849.0,2022-10-25,2023-10-17,"[14, 44, 34, 74, 191]",71.4,62.857298701105506,5
1740,15864.0,2022-10-26,2022-12-04,"[28, 11]",19.5,8.5,2
1741,15869.0,2022-12-18,2023-11-03,"[231, 89]",160.0,71.0,2
1742,15874.0,2022-10-26,2022-10-26,[],,,0
1743,15875.0,2022-10-26,2022-10-26,[],,,0
1744,15878.0,2022-10-26,2022-10-26,[],,,0
1745,15879.0,2024-02-02,2024-02-02,[],,,0
1746,15881.0,2022-10-30,2022-10-30,[],,,0
1747,15882.0,2023-11-16,2023-11-16,[],,,0
1748,15886.0,2022-11-26,2024-07-07,"[2, 3, 7, 2, 3, 8, 2, 3, 2, 2, 5, 1, 13, 8, 5, 2, 1, 19, 23, 6, 12, 7, 13, 1, 1, 3, 17, 16, 8, 2, 2, 5, 25, 39, 36, 10, 1, 14, 61, 15, 184]",14.365853658536585,29.412753246501076,41
1749,15891.0,2022-10-26,2022-10-26,[],,,0
1750,15896.0,2023-01-03,2023-01-03,[],,,0
1751,15898.0,2022-10-26,2022-10-26,[],,,0
1752,15899.0,2022-10-26,2022-10-26,[],,,0
1753,15910.0,2022-12-06,2022-12-06,[],,,0
1754,15911.0,2022-11-28,2023-01-03,"[35, 1]",18.0,17.0,2
1755,15914.0,2022-10-29,2023-11-07,"[68, 74, 48, 184]",93.5,53.12955862794269,4
1756,15924.0,2023-01-10,2023-05-07,"[8, 19, 4, 23, 19, 44]",19.5,12.816005617976296,6
1757,15929.0,2023-05-26,2023-05-26,[],,,0
1758,15940.0,2022-10-27,2022-10-31,[4],4.0,0.0,1
1759,15952.0,2022-10-31,2022-12-20,[50],50.0,0.0,1
1760,15953.0,2022-12-26,2022-12-26,[],,,0
1761,15954.0,2022-10-27,2022-10-27,[],,,0
1762,15957.0,2023-01-12,2023-01-12,[],,,0
1763,15960.0,2022-10-27,2022-10-31,[4],4.0,0.0,1
1764,15968.0,2022-10-31,2023-01-25,[86],86.0,0.0,1
1765,15989.0,2022-10-27,2022-10-27,[],,,0
1766,16001.0,2022-10-27,2022-10-27,[],,,0
1767,16005.0,2022-10-27,2024-05-27,"[26, 552]",289.0,263.0,2
1768,16009.0,2022-10-31,2022-10-31,[],,,0
1769,16028.0,2022-10-30,2022-10-30,[],,,0
1770,16038.0,2023-01-23,2023-03-31,"[17, 50]",33.5,16.5,2
1771,16039.0,2022-11-05,2023-02-24,"[5, 15, 5, 8, 14, 28, 36]",15.857142857142858,11.050902631893551,7
1772,16042.0,2022-10-28,2022-12-13,[46],46.0,0.0,1
1773,16043.0,2023-05-04,2023-05-04,[],,,0
1774,16047.0,2022-10-28,2022-10-28,[],,,0
1775,16053.0,2022-10-28,2022-10-28,[],,,0
1776,16057.0,2022-10-28,2022-10-28,[],,,0
1777,16062.0,2022-10-28,2022-10-28,[],,,0
1778,16064.0,2022-10-28,2022-10-28,[],,,0
1779,16081.0,2023-05-11,2023-05-16,"[1, 4]",2.5,1.5,2
1780,16089.0,2022-10-29,2023-05-08,"[21, 10, 10, 119, 31]",38.2,41.150455647538095,5
1781,16095.0,2022-10-29,2022-10-29,[],,,0
1782,16106.0,2022-10-29,2024-01-12,"[102, 112, 226]",146.66666666666666,56.245493646651866,3
1783,16107.0,2022-11-12,2022-11-12,[],,,0
1784,16111.0,2022-10-29,2024-01-25,[453],453.0,0.0,1
1785,16121.0,2022-10-29,2022-10-29,[],,,0
1786,16125.0,2023-01-16,2023-06-27,[162],162.0,0.0,1
1787,16132.0,2023-03-22,2024-04-05,"[50, 48, 144, 50, 42, 13, 9, 24]",47.5,39.654760117796705,8
1788,16133.0,2022-11-28,2022-11-28,[],,,0
1789,16142.0,2022-10-29,2024-05-10,"[4, 3, 42, 39, 27, 119, 322, 3]",69.875,101.7551442188551,8
1790,16145.0,2023-02-25,2023-02-25,[],,,0
1791,16148.0,2022-10-31,2022-10-31,[],,,0
1792,16150.0,2022-10-29,2022-10-29,[],,,0
1793,16155.0,2022-11-20,2022-12-27,"[24, 13]",18.5,5.5,2
