cohort_group,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
2023-11,1.0,0.14498933901918976,0.11513859275053305,0.09381663113006397,0.07889125799573561,0.09594882729211088,0.08528784648187633,0.10021321961620469,0.07249466950959488,0.05970149253731343,0.057569296375266525,0.06823027718550106
2023-12,,1.0,0.09090909090909091,0.0743801652892562,0.06611570247933884,0.07024793388429752,0.06198347107438017,0.08677685950413223,0.05785123966942149,0.024793388429752067,0.045454545454545456,0.03305785123966942
2024-01,,,1.0,0.1822429906542056,0.14485981308411214,0.09345794392523364,0.11682242990654206,0.09813084112149532,0.06074766355140187,0.0514018691588785,0.06074766355140187,0.06074766355140187
2024-02,,,,1.0,0.14912280701754385,0.15350877192982457,0.10964912280701754,0.08771929824561403,0.07017543859649122,0.06140350877192982,0.06140350877192982,0.043859649122807015
2024-03,,,,,1.0,0.11149825783972125,0.10104529616724739,0.08362369337979095,0.06620209059233449,0.05226480836236934,0.05226480836236934,0.0313588850174216
2024-04,,,,,,1.0,0.18494897959183673,0.07908163265306123,0.0548469387755102,0.04336734693877551,0.02423469387755102,0.02295918367346939
2024-05,,,,,,,1.0,0.14138286893704852,0.0629514963880289,0.053663570691434466,0.03611971104231166,0.034055727554179564
2024-06,,,,,,,,1.0,0.10969116080937168,0.06283280085197018,0.04472843450479233,0.04046858359957402
2024-07,,,,,,,,,1.0,0.15267175572519084,0.07251908396946564,0.05534351145038168
2024-08,,,,,,,,,,1.0,0.10458911419423693,0.054429028815368194
2024-09,,,,,,,,,,,1.0,0.11343804537521815
2024-10,,,,,,,,,,,,1.0
