cohort_group,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
2023-12,1.0,0.14590747330960854,0.1103202846975089,0.10676156583629894,0.11743772241992882,0.10320284697508897,0.11743772241992882,0.08540925266903915,0.05693950177935943,0.07473309608540925,0.07829181494661921,0.060498220640569395
2024-01,,1.0,0.23293172690763053,0.18473895582329317,0.13253012048192772,0.14859437751004015,0.14056224899598393,0.09236947791164658,0.08032128514056225,0.08835341365461848,0.08835341365461848,0.08032128514056225
2024-02,,,1.0,0.14583333333333334,0.15833333333333333,0.11666666666666667,0.1,0.07083333333333333,0.06666666666666667,0.06666666666666667,0.05,0.05
2024-03,,,,1.0,0.11224489795918367,0.1054421768707483,0.08503401360544217,0.06802721088435375,0.05102040816326531,0.05102040816326531,0.030612244897959183,0.034013605442176874
2024-04,,,,,1.0,0.18592964824120603,0.08040201005025126,0.05527638190954774,0.04271356783919598,0.02512562814070352,0.02512562814070352,0.018844221105527637
2024-05,,,,,,1.0,0.14256410256410257,0.06358974358974359,0.05435897435897436,0.036923076923076927,0.03487179487179487,0.02666666666666667
2024-06,,,,,,,1.0,0.11356466876971609,0.06519453207150368,0.0452155625657203,0.04206098843322818,0.030494216614090432
2024-07,,,,,,,,1.0,0.15122873345935728,0.07183364839319471,0.05671077504725898,0.05103969754253308
2024-08,,,,,,,,,1.0,0.10638297872340426,0.05425531914893617,0.039361702127659576
2024-09,,,,,,,,,,1.0,0.1132404181184669,0.050522648083623695
2024-10,,,,,,,,,,,1.0,0.12222222222222222
2024-11,,,,,,,,,,,,1.0
